Individual,Population,Locus1,,Locus2,,Locus3,,Locus4,,Locus5,,Locus6,,Locus7,,Locus8,,Locus9,,Locus10,,Locus11,,Locus12,,Locus13,,Locus14,,Locus15,,Locus16,,Locus17,,Locus18,,Locus19,,Locus20,,Locus21,
17,17,33,33,36,36,42,42,44,44,53,53,45,25,50,60,70,80,52,52,79,79,83,83,201,205,240,252,179,199,262,266,215,227,211,243,138,230,117,137,104,164,1,888
18,17,33,33,36,36,42,42,44,44,51,54,45,25,50,60,80,80,52,52,?,?,83,83,149,185,244,264,171,187,278,294,211,215,219,227,138,162,105,121,124,184,12,888
19,17,33,33,36,36,41,42,44,44,54,53,45,25,50,60,80,80,52,52,?,?,83,83,165,201,252,272,171,291,278,302,211,231,215,235,170,234,85,121,112,124,12,888
20,17,?,?,36,36,?,?,44,44,53,53,45,45,60,60,80,80,52,52,?,?,83,83,245,245,244,256,183,187,266,278,219,223,195,215,138,146,101,129,116,116,12,888
1,18,34,34,36,36,41,42,44,44,53,53,45,25,50,60,70,80,51,52,79,79,83,83,161,165,240,288,159,203,290,290,207,223,231,251,158,170,105,169,100,172,5,888
2,18,33,34,36,36,42,42,44,44,51,53,?,?,60,60,70,70,52,52,78,78,83,83,165,201,236,248,235,271,270,270,211,219,239,259,214,254,109,109,132,188,1,888
3,18,34,34,37,38,42,42,44,44,51,53,25,25,60,60,70,70,?,?,79,79,83,83,129,157,260,276,199,271,262,282,211,215,239,247,162,166,109,137,104,196,4,888
4,18,?,?,36,36,42,42,44,44,51,53,45,35,50,60,70,80,52,52,78,79,83,83,137,161,252,292,187,295,270,274,203,231,235,263,214,238,89,145,108,116,1,888
5,18,?,?,36,36,42,42,43,44,?,?,45,25,60,60,70,70,?,?,?,?,83,83,125,189,260,276,279,323,270,298,171,215,223,235,158,174,85,109,184,192,4,888
6,18,34,34,36,36,42,42,44,44,53,53,45,25,60,60,80,80,51,52,78,79,83,83,161,197,244,264,179,275,274,310,207,223,207,207,158,226,85,101,196,200,1,888
7,18,?,?,36,36,41,42,44,44,?,?,45,55,60,60,?,?,52,52,?,?,83,83,157,213,236,264,263,283,302,342,195,223,235,247,162,170,145,145,120,188,4,888
8,18,34,34,36,36,42,42,44,44,51,52,?,?,?,?,80,80,52,52,79,79,83,83,157,221,240,256,187,255,290,302,227,259,207,227,162,182,129,161,112,204,1,888
9,18,34,34,36,37,41,42,44,44,51,53,25,25,50,50,80,80,52,52,79,79,83,83,129,189,244,244,175,279,282,298,211,211,211,239,142,162,101,141,100,184,4,888
10,18,34,34,36,37,42,42,44,44,53,53,45,25,60,60,80,80,52,52,79,79,83,83,161,213,272,280,179,191,270,274,219,271,251,283,162,242,93,101,108,204,5,888
11,18,33,34,36,36,42,42,44,44,?,?,?,?,?,?,80,80,52,52,79,79,83,83,137,145,240,256,167,263,262,266,207,263,215,247,162,170,105,145,104,108,1,888
12,18,33,34,36,37,42,42,44,44,53,54,45,45,60,60,80,80,52,52,78,79,83,83,169,185,256,264,203,227,270,274,211,275,239,251,166,170,101,109,100,100,5,888
13,18,33,34,36,37,42,42,44,44,53,53,?,?,60,60,70,80,52,52,78,79,83,83,133,161,260,284,239,267,262,298,179,231,235,235,162,170,121,125,104,124,4,888
14,18,33,34,36,37,41,42,44,44,52,53,25,25,50,60,80,80,?,?,78,79,83,83,133,145,244,244,167,203,262,298,215,215,219,231,158,222,105,113,184,192,4,888
15,18,33,34,36,36,42,42,44,44,52,53,25,25,50,60,80,80,52,52,79,79,83,83,149,213,232,244,191,255,278,290,199,219,223,251,170,254,89,105,104,164,4,888
16,18,34,34,36,36,41,42,44,44,54,53,45,25,60,60,70,70,52,52,78,79,83,83,169,181,236,284,179,223,262,266,263,283,215,223,162,162,109,145,100,212,5,888
17,18,33,34,?,?,42,42,44,44,53,53,25,25,50,60,70,80,?,?,78,79,83,83,165,193,236,240,239,275,262,278,235,275,227,279,166,230,101,149,112,196,1,888
18,18,33,34,36,37,42,42,44,44,52,53,25,25,60,60,70,80,51,52,78,79,83,83,141,185,248,252,207,215,274,294,179,211,211,231,158,162,101,117,104,152,4,888
19,18,33,34,?,?,41,42,44,44,53,53,?,?,60,60,70,80,52,52,78,79,83,83,141,165,244,248,203,267,258,290,199,223,223,235,166,214,117,129,108,224,555,888
20,18,?,?,36,36,?,?,44,44,51,51,?,?,50,60,80,80,52,52,78,79,83,83,161,165,236,236,139,143,?,?,227,227,215,259,158,222,85,137,188,188,555,888
21,18,33,34,36,37,42,42,44,44,53,53,?,?,?,?,70,70,51,52,79,79,83,83,137,145,240,244,175,247,270,282,215,239,227,227,158,170,85,85,100,164,4,888
22,18,33,34,?,?,42,42,44,44,?,?,?,?,50,50,70,80,52,52,79,79,83,83,161,165,252,264,203,235,266,282,207,279,195,199,162,174,137,173,104,108,4,888
23,18,34,34,36,36,42,42,44,44,?,?,?,?,?,?,80,80,52,52,78,79,83,83,141,157,248,256,271,275,262,270,211,223,191,231,134,158,125,161,116,224,2,888
24,18,33,34,36,37,42,42,44,44,51,53,25,25,60,60,70,80,51,51,79,79,83,83,141,197,228,240,203,247,262,274,207,215,219,227,166,206,85,137,108,176,1,888
25,18,33,34,36,36,42,42,44,44,53,53,25,25,60,60,70,80,?,?,?,?,83,83,181,205,216,284,187,243,274,298,203,231,235,235,162,166,133,141,128,192,4,888
26,18,33,34,36,36,42,42,44,44,53,54,45,25,50,60,70,80,52,52,79,79,83,83,161,205,244,264,179,211,262,282,203,219,235,251,166,170,105,105,104,204,5,888
27,18,33,34,36,36,42,42,44,44,53,54,45,25,50,60,70,70,52,52,79,79,83,83,133,145,240,252,179,183,278,314,171,231,219,235,138,190,105,113,156,180,1,888
28,18,34,34,36,36,42,42,44,44,53,53,?,?,60,60,70,80,52,52,?,?,83,83,137,165,240,248,271,311,274,290,211,247,199,223,162,166,105,109,128,184,1,888
29,18,33,34,36,36,41,42,44,44,53,53,25,25,60,60,70,80,52,52,79,79,83,83,145,177,228,244,179,207,286,298,215,223,199,243,158,238,109,117,172,196,4,888
30,18,?,?,36,36,42,42,44,44,53,53,25,25,60,60,70,80,52,52,79,79,83,83,141,165,276,280,211,247,286,290,211,215,223,227,162,230,105,137,100,208,1,888
31,18,?,?,36,36,?,?,?,?,?,?,45,25,?,?,70,80,52,52,79,79,83,83,129,197,272,288,203,283,274,274,211,235,219,239,138,162,109,129,100,164,13,888
32,18,34,34,?,?,41,42,44,44,?,?,?,?,?,?,80,80,52,52,78,78,83,83,185,201,240,244,171,187,270,294,207,219,243,255,202,202,109,109,104,120,5,888
33,18,33,34,36,36,42,42,44,44,53,53,25,25,?,?,70,80,?,?,78,79,83,83,145,165,240,256,175,191,290,290,211,239,227,263,158,254,113,117,112,208,5,888
34,18,34,34,36,36,41,41,43,44,?,?,?,?,?,?,80,80,52,52,79,79,83,83,145,201,244,248,179,203,274,290,207,219,223,231,158,162,101,133,164,204,4,888
35,18,34,34,36,36,42,42,44,44,?,?,25,25,60,60,70,80,51,52,78,79,83,83,185,205,248,276,175,215,274,298,215,263,223,247,162,206,89,145,148,196,4,888
36,18,34,34,36,36,42,42,44,44,?,?,25,25,50,60,70,70,52,52,79,79,83,83,145,185,244,248,203,267,290,294,195,219,203,219,162,190,101,121,168,188,4,888
37,18,34,34,36,36,?,?,?,?,52,53,?,?,50,60,80,80,51,52,?,?,83,83,161,181,244,244,211,291,262,278,207,251,219,235,138,162,105,117,156,92,9,888
38,18,34,34,36,36,?,?,?,?,54,54,25,25,60,60,70,80,?,?,78,79,82,83,165,217,244,260,207,211,274,290,227,259,211,223,138,170,89,105,104,128,5,888
39,18,34,34,36,36,42,42,44,44,52,54,45,25,?,?,80,80,52,52,78,79,83,83,145,201,232,280,203,275,270,338,215,259,235,251,166,170,85,129,112,192,4,888
40,18,?,?,36,36,42,42,44,44,53,54,?,?,50,60,70,80,52,52,?,?,83,83,125,145,248,268,191,275,270,286,215,227,235,235,146,234,113,121,104,128,1,888
41,18,34,34,36,36,41,41,44,44,54,51,?,?,50,60,70,80,52,52,78,79,83,83,145,165,244,244,183,195,278,294,199,207,227,227,158,170,101,105,180,228,4,888
42,18,34,34,36,36,41,42,44,44,51,51,45,25,50,50,70,80,51,52,?,?,83,83,161,173,248,284,191,275,266,294,195,239,235,243,162,254,85,125,120,240,5,888
43,18,34,34,36,37,41,42,44,44,51,53,?,?,50,60,70,70,52,52,78,79,83,83,141,177,240,244,183,291,282,290,215,219,239,247,170,222,117,129,108,196,1,888
1,19,33,34,36,37,41,41,44,44,53,53,45,45,60,60,?,?,51,51,?,?,83,83,137,149,240,244,199,199,270,274,207,255,215,231,170,182,85,93,108,96,1,888
2,19,33,34,36,36,41,42,44,44,51,54,45,35,50,60,70,80,51,52,79,79,83,83,165,165,244,244,199,231,294,298,227,267,239,243,162,166,121,149,96,96,4,888
3,19,33,34,?,?,42,42,44,44,?,?,25,25,60,60,70,80,52,52,?,?,83,83,133,153,256,264,187,267,266,274,195,227,223,227,158,162,101,109,104,96,4,888
4,19,33,34,36,37,42,42,44,44,51,53,45,25,50,60,70,70,51,52,78,79,83,83,153,169,252,260,171,183,266,294,215,231,227,259,138,162,117,129,100,224,2,888
5,19,34,34,36,36,41,42,43,44,51,53,35,35,?,?,80,80,52,52,79,79,83,83,161,169,240,248,195,223,294,306,199,207,215,227,238,246,121,141,120,180,4,888
6,19,?,?,?,?,42,42,44,44,?,?,45,45,60,60,70,80,?,?,79,79,83,83,149,201,244,248,187,199,270,270,211,235,235,243,134,166,105,185,100,112,1,888
7,19,33,33,36,36,42,42,44,44,51,54,35,35,60,60,80,80,52,52,78,79,83,83,149,177,248,280,191,243,262,274,215,231,231,231,162,238,97,125,100,112,1,888
8,19,34,34,36,36,41,42,44,44,51,53,45,45,?,?,80,80,52,52,78,78,83,83,161,165,252,268,171,235,266,290,215,223,223,271,162,170,125,141,100,152,4,888
9,19,?,?,36,37,42,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,129,169,260,272,179,267,266,290,211,223,195,219,170,206,85,117,100,96,4,888
10,19,33,33,?,?,42,42,44,44,52,53,45,25,60,60,70,80,51,52,79,79,83,83,149,157,236,240,179,275,270,274,207,227,215,255,138,158,85,105,104,188,2,888
11,19,33,33,36,36,42,42,44,44,53,53,45,45,60,60,80,80,52,52,78,79,83,83,149,157,244,264,239,271,266,270,207,267,215,231,158,206,121,181,100,156,8,888
12,19,34,34,36,36,41,41,43,44,52,53,55,35,50,60,70,70,51,52,79,79,83,83,153,161,268,268,175,235,270,278,179,227,195,207,158,214,109,109,112,132,4,888
13,19,33,34,36,36,?,?,44,44,?,?,45,25,?,?,70,80,52,52,79,79,82,83,157,165,244,252,199,243,?,?,227,231,223,235,162,202,?,?,140,164,1,888
14,19,34,34,36,37,41,42,?,?,?,?,45,35,?,?,70,80,52,52,78,79,83,83,165,189,272,284,171,195,?,?,?,?,?,?,?,?,121,165,104,124,4,888
15,19,34,34,?,?,42,42,44,44,?,?,?,?,60,60,70,80,?,?,79,79,83,83,149,149,240,244,211,263,?,?,?,?,?,?,?,?,?,?,120,188,4,888
16,19,33,34,36,36,42,42,43,44,51,51,55,35,60,60,70,70,52,52,?,?,83,83,177,181,252,280,283,283,278,282,207,275,215,235,162,162,93,105,120,172,2,888
17,19,34,34,36,36,42,42,44,44,53,54,35,35,60,60,70,70,52,52,?,?,83,83,153,161,252,264,183,219,266,266,207,207,211,239,138,178,117,117,112,172,1,888
18,19,?,?,?,?,42,42,44,44,53,53,45,45,60,60,70,70,?,?,78,79,83,83,129,129,248,292,179,311,?,?,219,235,211,223,138,214,85,101,188,188,555,888
19,19,33,33,36,36,42,42,44,44,51,52,45,25,60,60,80,80,52,52,78,79,83,83,141,153,244,292,183,247,270,270,195,203,211,287,134,170,121,129,104,204,5,888
20,19,?,?,36,36,42,42,44,44,51,53,25,25,60,60,70,70,52,52,79,79,83,83,145,205,260,276,183,239,?,?,?,?,211,219,162,226,97,117,112,120,3,888
21,19,34,34,?,?,41,42,43,44,?,?,25,25,50,50,70,80,?,?,78,79,83,83,129,153,248,272,231,239,286,294,203,259,243,251,170,170,89,145,116,216,5,888
22,19,33,34,?,?,42,42,44,44,53,53,45,45,?,?,80,80,52,52,78,78,83,83,145,153,248,256,207,247,258,278,207,255,203,243,158,162,113,129,192,96,555,888
23,19,?,?,36,36,42,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,177,177,236,244,171,187,286,294,207,211,251,279,158,234,85,157,128,204,1,888
24,19,33,33,36,36,42,42,44,44,51,53,25,35,60,60,70,80,52,52,79,79,83,83,117,141,256,256,187,239,274,274,207,255,207,219,162,162,101,121,200,216,1,888
25,19,?,?,36,36,41,42,43,44,51,53,45,35,?,?,80,80,52,52,79,79,83,83,149,193,236,256,259,319,274,294,215,215,211,239,162,170,85,121,116,96,2,888
26,19,34,34,36,37,42,42,43,44,53,54,35,35,?,?,70,80,52,52,78,79,83,83,157,185,260,264,195,231,266,266,203,239,203,223,162,182,105,113,100,196,5,888
27,19,33,34,?,?,42,42,44,44,53,54,45,45,60,60,80,80,52,52,78,78,83,83,137,177,236,244,203,243,266,338,211,239,239,263,134,214,109,145,188,188,1,888
28,19,?,?,36,36,41,42,43,44,53,53,45,45,60,60,70,80,52,52,79,79,83,83,125,193,232,268,207,223,266,266,211,219,215,235,158,158,109,121,112,184,1,888
29,19,?,?,36,36,41,42,44,44,53,53,45,25,?,?,70,70,52,52,78,79,83,83,149,185,244,256,183,207,266,270,207,227,215,255,162,170,85,93,188,212,4,888
30,19,34,34,36,36,42,42,44,44,51,53,25,25,50,60,70,80,?,?,79,79,83,83,153,193,252,252,215,215,?,?,?,?,?,?,162,162,109,117,120,184,1,888
31,19,?,?,?,?,?,?,44,44,?,?,?,?,?,?,?,?,?,?,?,?,83,83,153,161,248,280,275,275,?,?,?,?,?,?,?,?,105,121,208,244,4,888
32,19,?,?,?,?,42,42,43,44,53,53,?,?,?,?,70,80,52,52,79,79,83,83,181,181,?,?,191,195,?,?,?,?,?,?,162,162,105,157,164,212,1,888
33,19,34,34,36,36,42,42,44,44,?,?,?,?,60,60,70,70,?,?,79,79,83,83,?,?,?,?,?,?,?,?,?,?,207,215,158,178,109,113,?,?,1,888
34,19,?,?,36,37,42,42,44,44,?,?,45,45,?,?,70,80,51,51,78,79,83,83,145,153,260,260,251,251,?,?,?,?,215,239,134,162,85,117,124,176,4,888
35,19,?,?,36,37,42,42,43,44,51,51,25,25,?,?,80,80,52,52,79,79,83,83,185,197,240,256,191,235,254,294,203,247,195,231,162,230,109,129,180,212,4,888
36,19,34,34,?,?,41,42,?,?,?,?,?,?,60,60,80,80,51,52,79,79,83,83,141,181,?,?,247,259,?,?,?,?,191,231,138,170,117,121,?,?,5,888
37,19,33,33,36,37,41,42,?,?,?,?,25,35,?,?,80,80,51,51,78,79,83,83,113,133,240,248,231,247,266,298,211,227,231,247,158,170,81,85,200,212,1,888
1,20,33,33,36,37,42,42,43,44,?,?,?,?,60,60,70,80,51,52,79,79,83,83,149,193,260,264,175,187,270,274,243,283,223,251,134,162,101,125,108,180,555,888
2,20,33,33,36,37,42,42,44,44,54,53,25,25,50,60,80,80,52,52,78,79,83,83,141,185,240,244,175,279,270,294,215,359,223,259,170,170,125,137,192,200,1,888
3,20,33,34,36,37,42,42,43,44,?,?,45,25,50,50,70,80,52,52,79,79,83,83,177,189,240,264,259,283,278,302,191,271,215,227,138,166,85,101,112,204,4,888
4,20,33,34,36,37,42,42,44,44,51,51,25,25,60,60,80,80,51,52,78,78,83,83,145,149,240,260,183,195,262,282,227,227,215,219,134,158,109,125,104,112,1,888
5,20,33,33,36,36,41,42,44,44,54,53,25,25,60,60,?,?,52,52,78,79,83,83,137,169,244,252,187,267,262,274,215,287,219,227,138,158,105,129,108,116,1,888
6,20,33,34,36,37,42,42,44,44,?,?,25,25,60,60,70,70,?,?,79,79,83,83,173,181,240,248,191,215,270,278,211,215,207,211,158,158,113,121,196,212,4,888
7,20,33,34,36,36,42,42,44,44,54,53,45,25,50,60,80,80,52,52,79,79,83,83,141,169,260,272,239,287,278,306,219,223,215,235,134,206,85,109,220,92,4,888
8,20,33,34,?,?,41,42,44,44,?,?,45,45,60,60,80,80,52,52,78,79,83,83,145,181,236,264,251,279,290,294,195,219,211,215,162,170,93,117,104,108,4,888
9,20,34,34,36,36,?,?,44,44,52,53,45,45,50,50,80,80,52,52,79,79,83,83,153,161,240,272,199,283,286,290,203,215,203,215,138,154,89,105,100,200,4,888
10,20,34,34,37,37,42,42,44,44,?,?,45,45,60,60,80,80,52,52,78,78,83,83,177,213,236,268,183,183,270,278,207,219,231,235,146,162,85,109,208,96,9,888
11,20,33,34,36,36,41,41,44,44,51,53,25,35,50,60,80,80,52,52,78,79,83,83,153,165,244,264,215,219,270,270,211,215,215,231,134,162,101,117,100,216,1,888
12,20,33,34,36,36,41,41,43,44,53,53,45,35,60,60,?,?,51,52,78,79,83,83,149,201,240,268,235,291,274,298,219,251,219,235,134,158,113,133,104,104,1,888
13,20,33,33,36,37,?,?,44,44,53,53,?,?,50,60,80,80,52,52,79,79,83,83,149,173,244,280,175,191,270,318,179,207,203,219,158,162,105,117,108,132,4,888
14,20,33,34,36,37,42,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,161,169,264,280,179,203,302,302,215,223,223,227,134,162,85,109,100,172,4,888
15,20,33,34,36,37,42,42,44,44,53,53,25,25,?,?,80,80,52,52,78,79,83,83,153,181,268,284,211,271,262,298,235,239,195,243,138,162,97,101,120,120,1,888
16,20,33,33,36,37,42,42,44,44,?,?,45,35,50,60,70,70,52,52,79,79,83,83,173,189,272,272,175,271,266,294,203,223,195,219,134,134,109,145,140,192,1,888
17,20,33,33,36,36,42,42,44,44,52,53,25,25,50,50,80,80,51,52,78,78,83,83,153,213,248,276,171,219,266,290,207,239,235,251,138,174,113,117,168,184,4,888
18,20,33,33,36,37,41,42,43,44,53,53,45,25,60,60,80,80,51,52,79,79,83,83,153,165,252,260,187,207,286,298,223,259,199,215,138,210,113,149,100,204,4,888
19,20,33,33,36,36,41,42,44,44,53,53,45,25,50,60,80,80,52,52,78,79,83,83,153,165,248,276,191,267,274,278,211,223,223,231,162,170,97,101,108,168,4,888
20,20,33,34,36,36,42,42,43,44,53,53,45,25,50,60,80,80,52,52,78,79,83,83,165,177,248,272,187,275,266,270,199,271,219,227,162,170,97,117,104,224,4,888
21,20,33,33,36,36,41,42,44,44,51,53,25,25,60,60,70,80,52,52,78,79,83,83,145,153,244,268,215,271,270,274,203,227,219,243,134,158,89,133,104,200,1,888
22,20,33,33,36,36,41,42,44,44,54,54,45,25,60,60,80,80,52,52,78,79,83,83,145,149,240,244,183,271,278,290,207,275,219,231,134,166,97,149,108,168,1,888
23,20,34,34,36,36,?,?,44,44,?,?,45,35,60,60,80,80,52,52,79,79,83,83,165,193,244,256,171,195,266,270,171,247,215,231,134,174,89,109,180,96,4,888
24,20,33,34,37,37,?,?,44,44,?,?,25,25,60,60,80,80,52,52,79,79,83,83,181,205,256,260,191,223,270,270,219,279,211,259,134,166,125,133,104,188,1,888
25,20,33,33,36,36,42,42,43,44,51,52,25,35,50,50,80,80,52,52,78,79,83,83,137,165,276,284,167,191,262,270,211,227,199,263,134,134,105,129,120,160,4,888
26,20,33,34,36,36,42,42,44,44,53,53,25,35,60,60,80,80,52,52,79,79,83,83,149,169,244,252,211,219,266,270,231,279,235,235,134,162,89,129,204,228,13,888
27,20,33,34,36,36,41,42,44,44,52,53,45,25,60,60,80,80,52,52,78,78,83,83,169,169,244,288,203,219,270,286,219,223,231,247,162,162,109,129,220,96,1,888
28,20,33,34,36,36,41,42,44,44,?,?,?,?,50,60,80,80,51,52,79,79,83,83,153,169,256,280,183,187,274,298,199,267,235,239,162,162,89,105,100,208,1,888
29,20,33,34,36,36,41,42,44,44,54,53,45,35,60,60,?,?,52,52,78,79,83,83,145,157,248,252,263,283,274,282,211,271,195,195,134,242,89,145,104,96,1,888
30,20,33,33,36,37,41,42,44,44,?,?,?,?,60,60,?,?,52,52,78,79,83,83,173,173,244,268,179,187,278,286,235,251,235,239,158,210,121,157,104,128,555,888
31,20,33,34,36,37,42,42,43,44,51,53,45,25,60,60,80,80,52,52,79,79,83,83,153,177,244,320,175,203,274,278,219,227,195,231,162,210,89,129,100,104,4,888
32,20,33,33,36,36,42,42,44,44,?,?,45,25,60,60,80,80,52,52,79,79,83,83,169,173,244,268,167,231,262,270,215,235,215,227,170,210,93,97,184,196,555,888
33,20,33,34,36,36,41,41,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,125,189,248,256,183,267,266,270,187,203,211,235,134,218,105,125,112,116,4,888
34,20,33,34,36,36,42,42,44,44,?,?,45,25,50,60,70,80,52,52,79,79,83,83,145,181,248,248,171,243,274,278,191,219,199,223,166,178,85,109,116,184,1,888
35,20,33,34,36,36,41,42,44,44,?,?,45,25,50,60,70,80,52,52,78,79,83,83,145,185,240,284,187,211,274,278,219,251,223,227,170,246,93,105,104,128,1,888
36,20,?,?,36,37,41,42,43,43,53,53,?,?,60,60,70,80,52,52,79,79,83,83,161,189,244,248,191,231,274,282,239,239,223,231,134,138,109,125,140,212,4,888
37,20,33,33,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,161,165,236,260,183,191,266,278,207,219,235,263,134,134,85,157,104,184,1,888
38,20,33,34,36,37,42,42,43,44,53,53,45,25,50,60,70,80,52,52,78,79,83,83,161,185,244,268,159,223,286,286,223,267,215,219,162,214,101,157,100,96,4,888
39,20,33,33,36,36,42,42,44,44,53,53,25,25,50,60,80,80,52,52,79,79,83,83,149,157,244,248,175,283,266,270,223,255,215,223,138,174,89,105,116,96,1,888
40,20,33,34,36,36,42,42,44,44,53,53,45,25,50,60,80,80,52,52,78,79,83,83,173,177,260,272,271,287,262,286,199,199,211,239,134,138,101,101,116,96,4,888
41,20,33,34,36,37,41,42,43,44,53,53,45,25,60,60,80,80,52,52,79,79,83,83,161,165,268,280,183,183,266,298,203,267,215,251,134,210,105,113,184,208,4,888
42,20,33,34,36,37,?,?,43,44,?,?,25,25,60,60,80,80,51,52,78,79,83,83,145,165,236,252,207,283,274,274,215,239,211,235,134,162,101,105,120,176,4,888
43,20,34,34,36,37,42,42,44,44,51,53,?,?,50,60,80,80,52,52,78,79,83,83,153,161,244,260,195,287,274,302,199,207,239,251,210,210,109,117,164,208,1,888
44,20,33,34,36,36,42,42,43,44,51,53,25,25,60,60,70,80,52,52,78,79,83,83,133,185,244,280,191,219,270,294,195,231,211,251,162,206,89,117,100,124,1,888
45,20,33,34,36,36,42,42,43,44,51,53,25,25,60,60,80,80,52,52,79,79,82,83,133,145,244,256,195,295,262,266,219,271,215,251,162,210,97,105,120,124,4,888
46,20,33,34,36,37,42,42,44,44,54,53,45,25,60,60,70,80,52,52,79,79,83,83,149,153,244,268,251,259,258,274,199,231,207,215,138,214,101,125,124,196,4,888
47,20,33,33,36,36,41,42,44,44,53,53,45,25,50,60,80,80,52,52,78,78,?,?,149,161,248,252,183,199,270,270,207,227,223,255,134,210,105,149,200,224,4,888
1,21,33,34,36,37,42,42,44,44,53,53,45,35,60,60,70,80,52,52,79,79,83,83,153,169,240,248,171,175,274,294,199,203,215,247,134,226,97,105,120,124,4,888
2,21,33,34,37,37,42,42,44,44,54,53,25,25,60,60,80,80,52,52,79,79,83,83,145,205,256,276,179,275,266,274,203,259,199,231,138,162,101,129,100,220,1,888
3,21,34,34,36,37,42,42,44,44,51,53,45,45,?,?,70,80,52,52,79,79,83,83,153,181,252,268,187,199,270,274,207,211,223,235,162,162,89,113,104,108,4,888
4,21,33,34,36,36,42,42,44,44,53,53,45,55,50,60,80,80,52,52,79,79,82,83,149,161,228,260,247,263,270,314,191,203,219,231,138,162,105,141,104,188,4,888
5,21,33,33,36,36,41,42,44,44,51,53,25,25,60,60,?,?,52,52,78,79,83,83,153,201,236,260,183,259,274,274,199,223,211,235,138,178,85,145,96,248,1,888
6,21,33,33,37,37,41,42,44,44,52,53,25,25,50,60,70,80,52,52,79,79,83,83,145,193,240,240,223,227,270,302,207,267,211,215,154,158,109,117,116,188,4,888
7,21,33,33,36,36,42,42,44,44,53,53,45,25,60,60,80,80,52,52,78,79,83,83,157,169,216,236,207,207,270,298,215,219,219,243,162,250,109,121,216,96,4,888
8,21,33,34,36,37,42,42,44,44,53,53,25,25,?,?,80,80,52,52,78,79,83,83,141,161,236,240,191,247,270,274,207,215,211,231,130,254,89,141,124,188,2,888
9,21,33,34,36,37,41,42,44,44,53,53,25,25,60,60,80,80,52,52,79,79,83,83,161,173,264,272,175,179,274,274,179,215,219,271,134,162,85,89,172,184,1,888
10,21,33,33,36,36,42,42,44,44,54,53,45,25,60,60,80,80,52,52,78,78,83,83,173,205,244,244,191,243,258,286,195,239,231,251,150,194,101,105,116,208,4,888
11,21,33,34,36,36,42,42,44,44,54,53,25,25,50,60,80,80,52,52,78,79,83,83,169,201,236,248,175,291,274,302,195,215,223,251,138,170,105,149,112,172,1,888
12,21,33,33,36,37,42,42,43,44,54,53,45,25,50,60,70,70,51,52,79,79,83,83,157,177,244,276,175,191,262,270,227,235,207,239,134,138,109,117,100,88,4,888
13,21,33,34,36,37,42,42,44,44,51,53,45,35,60,60,70,80,52,52,78,79,83,83,169,197,252,252,191,195,270,290,223,231,223,255,138,162,89,105,108,176,1,888
14,21,33,33,36,37,41,42,44,44,54,53,?,?,50,60,70,70,52,52,78,79,83,83,153,153,228,236,179,211,286,286,203,207,211,215,134,178,101,129,104,92,4,888
15,21,33,34,36,37,41,42,43,44,52,53,45,45,50,60,80,80,52,52,78,79,83,83,177,205,240,280,183,219,274,274,215,227,211,219,158,170,101,133,104,208,1,888
16,21,33,33,36,37,41,42,44,44,53,53,?,?,50,60,80,80,51,52,78,79,83,83,149,173,240,284,171,279,270,278,203,223,207,227,162,162,85,129,132,228,4,888
17,21,33,33,36,36,42,42,44,44,52,52,45,25,60,60,80,80,52,52,79,79,83,83,145,165,244,284,171,215,274,286,207,215,215,255,134,162,113,117,112,180,4,888
18,21,34,34,36,37,41,41,44,44,53,53,?,?,60,60,80,80,52,52,79,79,83,83,125,165,252,260,191,271,266,266,235,243,223,259,166,174,101,133,120,124,2,888
19,21,33,33,36,36,41,42,44,44,53,53,45,25,60,60,80,80,52,52,79,79,83,83,149,153,244,248,167,255,262,274,191,239,211,231,158,166,105,129,120,220,4,888
20,21,33,33,36,36,42,42,44,44,53,53,45,25,60,60,?,?,52,52,78,79,83,83,173,201,244,256,235,311,266,294,247,259,215,235,134,162,101,117,108,108,8,888
21,21,33,34,37,37,42,42,44,44,53,53,45,25,60,60,70,80,52,52,78,79,83,83,185,201,256,260,195,199,262,274,199,215,211,219,174,178,117,121,160,228,2,888
22,21,33,34,36,36,42,42,44,44,53,53,25,25,60,60,70,80,52,52,78,79,83,83,157,173,252,264,187,295,270,286,211,243,223,235,134,162,85,101,108,188,555,888
23,21,33,33,36,36,42,42,44,44,?,?,25,25,50,60,70,80,52,52,?,?,83,83,165,177,248,264,187,199,270,270,199,211,211,223,138,162,97,105,188,196,1,888
24,21,33,33,36,37,42,42,44,44,53,53,25,25,50,60,70,80,52,52,79,79,83,83,137,209,260,260,183,267,270,274,227,239,215,255,162,166,85,129,108,136,1,888
25,21,33,34,36,37,42,42,44,44,54,53,25,25,50,60,80,80,52,52,79,79,83,83,153,181,252,260,175,243,274,302,287,287,223,223,134,166,85,89,180,196,1,888
26,21,33,33,37,37,42,42,43,43,54,54,25,25,60,60,70,70,52,52,79,79,82,83,173,177,248,252,179,283,274,278,211,219,239,251,134,178,89,125,100,200,4,888
